frame,flow,density,speed,TPI,weighted_flow_rate,weighted_speed,congestion_factor,smoothed_congestion_factor,final_theoretical_value,normalized_smoothed_congestion_factor,Weather Impact,Accident Impact,Dynamic Capacity,Time Interval,Blockage Probability
1,20,8,12.15749846,3.293577771,20,12.15749846,12.95674659,12.95674659,6.192528418,0,50,100,1150,1,0.982608696
2,28,11,9.723241548,5.1453789,21.45454545,11.71490629,30.66542041,16.17650547,8.454716871,0.014489709,50,100,1150,1,0.975652174
3,37,11,7.609403173,6.262995477,24.28099174,10.96845118,50.8668753,22.48384544,11.12925047,0.042874294,50,100,1150,1,0.967826087
4,45,9,6.643203694,6.422604007,28.04808415,10.18204254,57.32721864,28.8190042,13.14152407,0.071384071,50,100,1150,1,0.960869565
5,51,12,4.481658928,8.053886255,32.22115976,9.14560916,124.0550606,46.13465081,19.47811562,0.149308751,50,100,1150,1,0.955652174
6,54,11,6.516826609,5.455961573,36.18094889,8.667648696,85.43748242,53.28062019,19.80335916,0.181467376,50,100,1150,1,0.953043478
7,59,11,4.949957812,6.037830378,40.32986728,7.991704899,120.0926727,65.42826611,23.8549611,0.236134779,50,100,1150,1,0.948695652
8,56,10,6.193657862,4.038789599,43.17898232,7.664787256,84.40825803,68.87917373,23.49090484,0.251664714,50,100,1150,1,0.951304348
9,55,10,5.27828537,4.592859715,45.32825826,7.230877822,96.04925413,73.81918835,25.36075831,0.273895998,50,100,1150,1,0.952173913
10,56,5,5.767708658,5.699321128,47.26857494,6.964847065,45.07229283,68.59248007,24.56726881,0.250374522,50,100,1150,1,0.951304348
11,52,6,3.130819338,17.21921663,48.12883404,6.267751115,86.75727727,71.89517047,33.62200278,0.265237443,50,100,1150,1,0.954782609
12,52,11,4.888020033,13.85189358,48.8326824,6.016890918,107.1822296,78.3109994,33.18962533,0.294110256,50,100,1150,1,0.954782609
13,51,10,4.596587963,18.42799116,49.22674014,5.758654017,101.047996,82.44499877,37.63309344,0.312714272,50,100,1150,1,0.955652174
14,47,8,3.923887258,26.09946229,48.8218783,5.425060061,85.89730655,83.0726911,43.19143093,0.315539043,50,100,1150,1,0.959130435
15,46,14,3.799555009,29.00797358,48.30880952,5.129513688,151.4110178,95.49784141,48.95493392,0.371455283,50,100,1150,1,0.96
16,46,11,2.336976583,41.30972291,47.88902597,4.621779669,180.2975756,110.9159749,62.19159851,0.440840687,50,100,1150,1,0.96
17,45,11,3.761300871,22.76596119,47.36374852,4.465328978,117.4523966,112.1044152,49.5674974,0.446188961,50,100,1150,1,0.960869565
18,46,8,3.707318156,20.01524968,47.11579424,4.327508829,88.41736854,107.7976795,46.34997862,0.426807588,50,100,1150,1,0.96
19,48,10,3.829458631,14.72956243,47.27655893,4.236954247,112.0232439,108.5659639,42.88048287,0.430265057,50,100,1150,1,0.95826087
20,50,8,2.773747865,20.21332486,47.77173003,3.970916723,123.4059606,111.2641451,47.52857094,0.442407538,50,100,1150,1,0.956521739
21,49,5,4.501244571,12.71001463,47.99505184,4.067339968,49.48768181,100.0320609,38.9066285,0.391860389,50,100,1150,1,0.957391304
22,62,13,4.610283849,11.94151277,50.54140605,4.166057038,158.9931252,110.7522544,41.58473525,0.440103904,50,100,1150,1,0.946086957
23,61,12,4.743541427,8.397958823,52.44296859,4.271054199,140.7445732,116.2054033,40.74019216,0.464644419,50,100,1150,1,0.946956522
24,64,18,5.449259694,4.626010641,54.54424703,4.48527338,195.1503312,130.5590265,42.40591541,0.529239263,50,100,1150,1,0.944347826
25,62,6,4.34520054,3.789250602,55.89983848,4.459805591,77.39617729,120.8930539,38.9203916,0.485740003,50,100,1150,1,0.946086957
26,58,5,6.66504435,3.112826464,56.28168603,4.860758093,40.82319463,106.3348977,34.07944784,0.420224709,50,100,1150,1,0.949565217
27,57,7,5.429723891,4.978552186,56.41228857,4.96420642,67.87837131,99.34280199,33.28782713,0.388758554,50,100,1150,1,0.950434783
28,61,9,4.783857503,6.30821374,57.24641792,4.931415707,104.7530142,100.3264769,34.5136927,0.393185334,50,100,1150,1,0.946956522
29,63,12,9.501588506,3.480342582,58.29252375,5.762356216,76.18789751,95.93764432,31.2175331,0.373434505,50,100,1150,1,0.945217391
30,55,10,4.43913914,8.532912955,57.69388307,5.521771293,112.3677597,98.92493802,35.65052048,0.386878063,50,100,1150,1,0.952173913
31,59,11,6.592737522,5.356004899,57.93135888,5.716492426,92.27748778,97.7163107,33.06409664,0.381438942,50,100,1150,1,0.948695652
32,62,9,5.94549525,5.20860595,58.67111181,5.758129303,87.27025281,95.81702745,32.3911324,0.372891699,50,100,1150,1,0.946086957
33,60,10,5.806704532,6.467619516,58.91272784,5.766961163,95.92965659,95.83750548,33.2785853,0.372983855,50,100,1150,1,0.947826087
34,56,10,4.902005748,8.208496136,58.38314096,5.609696542,104.590781,97.42901011,34.97465033,0.380146019,50,100,1150,1,0.951304348
35,58,10,4.271110778,9.096129025,58.31347897,5.366317312,122.6129569,102.0079095,36.96966317,0.400752195,50,100,1150,1,0.949565217
36,59,11,4.190636819,7.445303976,58.43830097,5.152557222,139.5332926,108.8307065,37.86092472,0.431456464,50,100,1150,1,0.948695652
37,51,7,4.344808997,7.957809751,57.08588262,5.005693909,74.40953818,102.5723122,36.34216049,0.403292147,50,100,1150,1,0.955652174
38,49,9,5.219980363,6.893971252,55.61572214,5.044655082,77.88488277,98.08368869,34.25088648,0.383092234,50,100,1150,1,0.957391304
39,52,6,5.659763664,6.254791389,54.95831811,5.156493006,51.13832562,89.54816813,31.24280441,0.344680286,50,100,1150,1,0.954782609
40,56,7,5.303199243,5.937565947,55.14771482,5.183166867,68.15206292,85.65796718,29.85368632,0.327173423,50,100,1150,1,0.951304348
41,52,10,4.454875601,7.611942386,54.57540304,5.050750273,105.9562424,89.34856267,32.13292847,0.343782012,50,100,1150,1,0.954782609
42,52,10,7.166399438,5.369162636,54.10714794,5.435413758,68.48064782,85.55439633,29.42473275,0.326707328,50,100,1150,1,0.954782609
43,52,11,4.892288759,9.201424498,53.72403013,5.336663758,107.0973803,89.47130251,33.2823879,0.344334372,50,100,1150,1,0.954782609
44,54,14,5.057489133,9.568989761,53.77420647,5.285904735,137.2922163,98.16601411,36.14809706,0.383462719,50,100,1150,1,0.953043478
45,61,13,5.315420838,8.350278794,55.08798711,5.291271299,137.4793024,105.3138847,37.43936057,0.415629899,50,100,1150,1,0.946956522
46,63,11,5.068422752,9.084675015,56.52653491,5.250753382,125.4394702,108.9730821,39.05119713,0.43209719,50,100,1150,1,0.945217391
47,69,10,4.750156341,9.773387957,58.79443765,5.159735738,132.3770103,113.2283418,40.8098741,0.451246908,50,100,1150,1,0.94
48,65,8,4.447062227,11.80842944,59.92272172,5.030158736,105.9214491,111.8998158,41.83584535,0.445268213,50,100,1150,1,0.943478261
49,65,8,2.954430128,18.90251298,60.84586322,4.652753535,151.6892745,119.1342629,48.97203794,0.477825009,50,100,1150,1,0.943478261
50,56,10,4.466754055,13.64578846,59.96479718,4.618935447,113.7563877,118.1564674,44.99899214,0.473424688,50,100,1150,1,0.951304348
51,52,12,3.874160829,15.9008794,58.51665224,4.48352188,144.027626,122.8603144,47.9887099,0.49459316,50,100,1150,1,0.954782609
52,53,9,3.178134503,19.01752475,57.51362456,4.246178721,130.9087527,124.3236668,50.60936737,0.501178607,50,100,1150,1,0.953913043
53,54,10,4.311260074,14.20698333,56.87478373,4.258011694,113.2759384,122.3149889,46.63938501,0.492139061,50,100,1150,1,0.953043478
54,58,11,5.245086691,11.57350232,57.07936851,4.437479875,112.0087537,120.441128,44.23379002,0.483706225,50,100,1150,1,0.949565217
55,64,10,3.842094737,13.02729026,58.33766514,4.329228032,148.5458146,125.551071,46.78442448,0.506702228,50,100,1150,1,0.944347826
56,71,12,4.730479847,8.346630648,60.63990784,4.402182908,164.0384869,132.548783,45.60727635,0.538193658,50,100,1150,1,0.93826087
57,74,11,5.732042834,4.526474539,63.06901551,4.643975622,131.4978125,132.3576974,42.87584141,0.537333726,50,100,1150,1,0.935652174
58,73,11,6.592270477,1.456320194,64.87464905,4.99821105,113.9973444,129.0194514,39.72525957,0.522310796,50,100,1150,1,0.936521739
