timestamps,vehicle_count
2024-05-01 13:57:55,3
2024-05-01 13:58:05,5
2024-05-01 13:58:15,4
2024-05-01 13:58:25,2
2024-05-01 13:58:35,3
2024-05-01 13:58:45,3
2024-05-01 13:58:55,3
2024-05-01 13:59:05,2
2024-05-01 13:59:15,2
2024-05-01 13:59:25,3
2024-05-01 13:59:35,2
2024-05-01 13:59:45,2
2024-05-01 13:59:55,2
2024-05-01 14:00:05,2
2024-05-01 14:00:15,4
2024-05-01 14:00:25,1
2024-05-01 14:00:35,4
2024-05-01 14:00:45,3
2024-05-01 14:00:55,1
2024-05-01 14:01:05,4
2024-05-01 14:01:15,4
2024-05-01 14:01:25,5
2024-05-01 14:01:35,3
2024-05-01 14:01:45,3
2024-05-01 14:01:55,3
2024-05-01 14:02:05,4
2024-05-01 14:02:15,3
2024-05-01 14:02:25,6
2024-05-01 14:02:35,5
2024-05-01 14:02:45,7
2024-05-01 14:02:55,7
2024-05-01 14:03:05,6
2024-05-01 14:03:15,3
2024-05-01 14:03:25,5
2024-05-01 14:03:35,3
2024-05-01 14:03:45,4
2024-05-01 14:03:55,2
2024-05-01 14:04:05,3
2024-05-01 14:04:15,5
2024-05-01 14:04:25,4
2024-05-01 14:04:35,3
2024-05-01 14:04:45,4
2024-05-01 14:04:55,4
2024-05-01 14:05:05,3
2024-05-01 14:05:15,2
2024-05-01 14:05:25,3
2024-05-01 14:05:35,3
2024-05-01 14:05:45,1
2024-05-01 14:05:55,2
2024-05-01 14:06:05,2
2024-05-01 14:06:15,3
2024-05-01 14:06:25,1
2024-05-01 14:06:35,3
2024-05-01 14:06:45,5
2024-05-01 14:06:55,4
2024-05-01 14:07:05,4
2024-05-01 14:07:15,5
2024-05-01 14:07:25,3
2024-05-01 14:07:35,1
2024-05-01 14:07:45,3
2024-05-01 14:07:55,1
2024-05-01 14:08:05,3
2024-05-01 14:08:15,2
2024-05-01 14:08:25,6
2024-05-01 14:08:35,2
2024-05-01 14:08:45,6
2024-05-01 14:08:55,3
2024-05-01 14:09:05,1
2024-05-01 14:09:15,2
2024-05-01 14:09:25,1
2024-05-01 14:09:35,3
2024-05-01 14:09:45,3
2024-05-01 14:09:55,1
2024-05-01 14:10:05,2
2024-05-01 14:10:15,2
2024-05-01 14:10:25,3
2024-05-01 14:10:35,2
2024-05-01 14:10:45,1
2024-05-01 14:10:55,3
2024-05-01 14:11:05,3
2024-05-01 14:11:15,2
2024-05-01 14:11:25,5
2024-05-01 14:11:35,3
2024-05-01 14:11:45,3
2024-05-01 14:11:55,4
2024-05-01 14:12:05,1
2024-05-01 14:12:15,1
2024-05-01 14:12:25,1
2024-05-01 14:12:35,3
2024-05-01 14:12:45,2
2024-05-01 14:12:55,3
2024-05-01 14:13:05,4
2024-05-01 14:13:15,3
2024-05-01 14:13:25,3
2024-05-01 14:13:35,1
2024-05-01 14:13:45,3
2024-05-01 14:13:55,3
2024-05-01 14:14:05,6
2024-05-01 14:14:15,7
2024-05-01 14:14:25,5
2024-05-01 14:14:35,3
2024-05-01 14:14:45,3
2024-05-01 14:14:55,2
2024-05-01 14:15:05,5
2024-05-01 14:15:15,2
2024-05-01 14:15:25,3
2024-05-01 14:15:35,2
2024-05-01 14:15:45,2
2024-05-01 14:15:55,3
2024-05-01 14:16:05,2
2024-05-01 14:16:15,5
2024-05-01 14:16:25,4
2024-05-01 14:16:35,5
2024-05-01 14:16:45,6
2024-05-01 14:16:55,6
2024-05-01 14:17:05,9
2024-05-01 14:17:15,8
2024-05-01 14:17:25,5
2024-05-01 14:17:35,2
2024-05-01 14:17:45,2
2024-05-01 14:17:55,3
2024-05-01 14:18:05,3
2024-05-01 14:18:15,3
2024-05-01 14:18:25,6
2024-05-01 14:18:35,5
2024-05-01 14:18:45,4
2024-05-01 14:18:55,3
2024-05-01 14:19:05,3
2024-05-01 14:19:15,4
2024-05-01 14:19:25,2
2024-05-01 14:19:35,5
2024-05-01 14:19:45,4
2024-05-01 14:19:55,3
2024-05-01 14:20:05,4
2024-05-01 14:20:15,3
2024-05-01 14:20:25,3
2024-05-01 14:20:35,4
2024-05-01 14:20:45,1
2024-05-01 14:20:55,3
2024-05-01 14:21:05,4
2024-05-01 14:21:15,1
2024-05-01 14:21:25,3
2024-05-01 14:21:35,3
2024-05-01 14:21:45,5
2024-05-01 14:21:55,3
2024-05-01 14:22:05,1
2024-05-01 14:22:15,2
2024-05-01 14:22:25,3
2024-05-01 14:22:35,4
2024-05-01 14:22:45,3
2024-05-01 14:22:55,2
2024-05-01 14:23:05,2
2024-05-01 14:23:15,7
2024-05-01 14:23:25,3
2024-05-01 14:23:35,1
2024-05-01 14:23:45,5
2024-05-01 14:23:55,4
2024-05-01 14:24:05,2
2024-05-01 14:24:15,5
2024-05-01 14:24:25,4
2024-05-01 14:24:35,2
2024-05-01 14:24:45,2
2024-05-01 14:24:55,3
2024-05-01 14:25:05,4
2024-05-01 14:25:15,6
2024-05-01 14:25:25,5
2024-05-01 14:25:35,2
2024-05-01 14:25:45,2
2024-05-01 14:25:55,2
2024-05-01 14:26:05,2
2024-05-01 14:26:15,1
2024-05-01 14:26:25,2
2024-05-01 14:26:35,2
2024-05-01 14:26:45,4
2024-05-01 14:26:55,3
2024-05-01 14:27:05,6
2024-05-01 14:27:15,5
2024-05-01 14:27:25,5
2024-05-01 14:27:35,2
2024-05-01 14:27:45,7
2024-05-01 14:27:55,5
2024-05-01 14:28:05,3
2024-05-01 14:28:15,5
2024-05-01 14:28:25,3
2024-05-01 14:28:35,2
2024-05-01 14:28:45,3
2024-05-01 14:28:55,4
2024-05-01 14:29:05,5
2024-05-01 14:29:15,2
2024-05-01 14:29:25,2
2024-05-01 14:29:35,3
2024-05-01 14:29:45,5
2024-05-01 14:29:55,2
2024-05-01 14:30:05,1
2024-05-01 14:30:15,3
2024-05-01 14:30:25,6
2024-05-01 14:30:35,2
2024-05-01 14:30:45,1
2024-05-01 14:30:55,2
2024-05-01 14:31:05,2
2024-05-01 14:31:15,2
2024-05-01 14:31:25,3
2024-05-01 14:31:35,4
2024-05-01 14:31:45,2
2024-05-01 14:31:55,3
2024-05-01 14:32:05,3
2024-05-01 14:32:15,4
2024-05-01 14:32:25,5
2024-05-01 14:32:35,5
2024-05-01 14:32:45,6
2024-05-01 14:32:55,8
2024-05-01 14:33:05,7
2024-05-01 14:33:15,5
2024-05-01 14:33:25,3
2024-05-01 14:33:35,4
2024-05-01 14:33:45,1
2024-05-01 14:33:55,4
2024-05-01 14:34:05,4
2024-05-01 14:34:15,2
2024-05-01 14:34:25,4
2024-05-01 14:34:35,2
2024-05-01 14:34:45,3
2024-05-01 14:34:55,3
2024-05-01 14:35:05,4
2024-05-01 14:35:15,1
2024-05-01 14:35:25,3
2024-05-01 14:35:35,1
2024-05-01 14:35:45,3
2024-05-01 14:35:55,3
2024-05-01 14:36:05,4
2024-05-01 14:36:15,4
2024-05-01 14:36:25,5
2024-05-01 14:36:35,3
2024-05-01 14:36:45,2
2024-05-01 14:36:55,3
2024-05-01 14:37:05,2
2024-05-01 14:37:15,3
2024-05-01 14:37:25,4
2024-05-01 14:37:35,4
2024-05-01 14:37:45,3
2024-05-01 14:37:55,1
2024-05-01 14:38:05,1
2024-05-01 14:38:15,2
2024-05-01 14:38:25,1
2024-05-01 14:38:35,3
2024-05-01 14:38:45,3
2024-05-01 14:38:55,4
2024-05-01 14:39:05,4
2024-05-01 14:39:15,6
2024-05-01 14:39:25,5
2024-05-01 14:39:35,3
2024-05-01 14:39:45,3
2024-05-01 14:39:55,2
2024-05-01 14:40:05,3
2024-05-01 14:40:15,2
2024-05-01 14:40:25,2
2024-05-01 14:40:35,2
2024-05-01 14:40:45,2
2024-05-01 14:40:55,3
2024-05-01 14:41:05,4
2024-05-01 14:41:15,6
2024-05-01 14:41:25,4
2024-05-01 14:41:35,4
2024-05-01 14:41:45,4
2024-05-01 14:41:55,6
2024-05-01 14:42:05,4
2024-05-01 14:42:15,4
2024-05-01 14:42:25,5
2024-05-01 14:42:35,2
2024-05-01 14:42:45,1
2024-05-01 14:42:55,2
2024-05-01 14:43:05,3
2024-05-01 14:43:15,3
2024-05-01 14:43:25,5
2024-05-01 14:43:35,4
2024-05-01 14:43:45,3
2024-05-01 14:43:55,2
2024-05-01 14:44:05,3
2024-05-01 14:44:15,3
2024-05-01 14:44:25,2
2024-05-01 14:44:35,3
2024-05-01 14:44:45,2
2024-05-01 14:44:55,2
2024-05-01 14:45:05,5
2024-05-01 14:45:15,7
2024-05-01 14:45:25,3
2024-05-01 14:45:35,4
2024-05-01 14:45:45,6
2024-05-01 14:45:55,3
2024-05-01 14:46:05,6
2024-05-01 14:46:15,8
2024-05-01 14:46:25,4
2024-05-01 14:46:35,6
2024-05-01 14:46:45,1
2024-05-01 14:46:55,2
2024-05-01 14:47:05,4
2024-05-01 14:47:15,2
2024-05-01 14:47:25,4
2024-05-01 14:47:35,4
2024-05-01 14:47:45,4
2024-05-01 14:47:55,2
2024-05-01 14:48:05,3
2024-05-01 14:48:15,2
2024-05-01 14:48:25,3
2024-05-01 14:48:35,3
2024-05-01 14:48:45,2
2024-05-01 14:48:55,3
2024-05-01 14:49:05,2
2024-05-01 14:49:15,5
2024-05-01 14:49:25,5
2024-05-01 14:49:35,5
2024-05-01 14:49:45,4
2024-05-01 14:49:55,4
2024-05-01 14:50:05,2
2024-05-01 14:50:15,6
2024-05-01 14:50:25,3
2024-05-01 14:50:35,2
2024-05-01 14:50:45,2
2024-05-01 14:50:55,2
2024-05-01 14:51:05,3
2024-05-01 14:51:15,3
2024-05-01 14:51:25,2
2024-05-01 14:51:35,2
2024-05-01 14:51:45,5
2024-05-01 14:51:55,4
2024-05-01 14:52:05,1
2024-05-01 14:52:15,2
2024-05-01 14:52:25,4
2024-05-01 14:52:35,7
2024-05-01 14:52:45,7
2024-05-01 14:52:55,7
2024-05-01 14:53:05,6
2024-05-01 14:53:15,6
2024-05-01 14:53:25,5
2024-05-01 14:53:35,6
2024-05-01 14:53:45,4
2024-05-01 14:53:55,4
2024-05-01 14:54:05,2
2024-05-01 14:54:15,1
2024-05-01 14:54:25,5
2024-05-01 14:54:35,4
2024-05-01 14:54:45,4
2024-05-01 14:54:55,5
2024-05-01 14:55:05,2
2024-05-01 14:55:15,1
2024-05-01 14:55:25,2
2024-05-01 14:55:35,5
2024-05-01 14:55:45,3
2024-05-01 14:55:55,3
2024-05-01 14:56:05,4
2024-05-01 14:56:15,4
2024-05-01 14:56:25,2
2024-05-01 14:56:35,7
2024-05-01 14:56:45,6
2024-05-01 14:56:55,5
2024-05-01 14:57:05,3
2024-05-01 14:57:15,4
2024-05-01 14:57:25,3
2024-05-01 14:57:35,5
2024-05-01 14:57:45,3
2024-05-01 14:57:55,2
2024-05-01 14:58:05,3
2024-05-01 14:58:15,3
2024-05-01 14:58:25,5
2024-05-01 14:58:35,3
2024-05-01 14:58:45,6
2024-05-01 14:58:55,2
2024-05-01 14:59:05,3
2024-05-01 14:59:15,5
2024-05-01 14:59:25,4
2024-05-01 14:59:35,2
2024-05-01 14:59:45,3
2024-05-01 14:59:55,5
2024-05-01 15:00:05,3
2024-05-01 15:00:15,7
2024-05-01 15:00:25,6
2024-05-01 15:00:35,4
2024-05-01 15:00:45,7
2024-05-01 15:00:55,6
2024-05-01 15:01:05,6
2024-05-01 15:01:15,6
2024-05-01 15:01:25,5
2024-05-01 15:01:35,1
2024-05-01 15:01:45,5
2024-05-01 15:01:55,4
2024-05-01 15:02:05,3
2024-05-01 15:02:15,4
2024-05-01 15:02:25,4
2024-05-01 15:02:35,4
2024-05-01 15:02:45,1
2024-05-01 15:02:55,1
2024-05-01 15:03:05,4
2024-05-01 15:03:15,1
2024-05-01 15:03:25,2
2024-05-01 15:03:35,2
